protein	MED19
protein	IGLC7
protein	KIAA1598
protein	ARHGAP10
protein	A1A5D2
protein	A2KUC3
protein	A2NJV5
protein	A2NXD2
protein	ZNF320
protein	SSPO
protein	OR2M5
protein	A4D1E4
protein	OR2A25
protein	VPS37C
protein	PSMB11
protein	CNOT1
protein	BDP1
protein	OR6C74
protein	OR14I1
protein	OR5H15
protein	OR6C68
protein	OR5K3
protein	OR6C6
protein	OR2W5
protein	OR51F1
protein	OR2T8
protein	OR4C46
protein	OR5H14
protein	OR6C70
protein	OR6C65
protein	ZNF233
protein	OR5H1
protein	OR6C75
protein	OR5B21
protein	OR2AG2
protein	OR6C76
protein	OR5K4
protein	OR52A4
protein	OR4C45
protein	COL6A6
protein	OR2AT4
protein	ARHGAP32
protein	SFI1
protein	GNAT3
protein	ZNF99
protein	COL6A5
protein	MYO9A
protein	DNASE2
protein	KIF2A
protein	SGK1
protein	TK2
protein	FZD9
protein	O00145
protein	SNAP23
protein	STXBP3
protein	MASP2
protein	HRK
protein	AP3B1
protein	SULT2B1
protein	SULT2B1-2
protein	TLR4
protein	O00211
protein	RHOD
protein	NDUFS8
protein	TNFRSF10A
protein	PSMD11
protein	PSMD12
protein	PSMD9
protein	BMPR1B
protein	SIRPB1
protein	AGRP
protein	F2RL2
protein	CBX4
protein	SUPT5H
protein	SUPT5H-2
protein	TAF4
protein	DFFA
protein	HIP1
protein	LEFTY2
protein	EIF3F
protein	CACNB4
protein	CDC7
protein	ARNTL
protein	PIK3CD
protein	SULT1C2
protein	SULT1C2-2
protein	P2RY10
protein	WASL
protein	PDE2A
protein	IPO5
protein	EEF2K
protein	SAP18
protein	IGF2BP3
protein	PIK3C2A
protein	PLK4
protein	SYT5
protein	GFRA2
protein	PIK3R2
protein	AGRN
protein	EXOC5
protein	NR5A2
protein	NR5A2-2
protein	NR5A2-3
protein	NDUFA4
protein	PSMD14
protein	BIN1
protein	BIN1-2
protein	CLDN5
protein	BCL9
protein	CHL1
protein	DLL1
protein	CACNA1A
protein	SDCBP
protein	NOP56
protein	CXCR6
protein	CCL21
protein	CCL23
protein	CCBP2
protein	CYR61
protein	CCL22
protein	NTN3
protein	NFIB
protein	E2F3
protein	WNT10B
protein	NME4
protein	PIK3C2B
protein	WNT7A
protein	UBE2C
protein	ACACB
protein	SH2B2
protein	CLDN4
protein	PPAP2A
protein	PPAP2B
protein	BHLHE40
protein	SOCS2
protein	NRG2
protein	NRG2-2
protein	AQP7
protein	DPYSL4
protein	SOCS3
protein	COX7A2L
protein	GAPDHS
protein	NDUFAB1
protein	CIT
protein	CIT-3
protein	COPE
protein	OR7A17
protein	RFXANK
protein	NCAN
protein	CTDSP2
protein	GNGT2
protein	CXCL11
protein	CDX4
protein	ZNF195
protein	ABLIM1
protein	DVL1
protein	DVL2
protein	GOSR2
protein	TOR1A
protein	STX16
protein	STX16-2
protein	STX16-3
protein	STX16-4
protein	ADAM10
protein	ZNF197
protein	RRH
protein	APAF1
protein	MAP2K7
protein	PRMT5
protein	SLC9A3R1
protein	TERT
protein	TERT-2
protein	CHEK1
protein	TNFRSF10B
protein	ZNF213
protein	TPP1
protein	GNB5
protein	NDC80
protein	KIF3C
protein	NRP1
protein	NRP1-2
protein	TNFSF11
protein	UNC13B
protein	TNFRSF10C
protein	POLR3A
protein	TAAR5
protein	CPLX1
protein	PSMA7
protein	RASGRF2
protein	TNFRSF13B
protein	FFAR1
protein	FFAR3
protein	IFIT3
protein	MGST3
protein	SIP1
protein	IRF6
protein	WNT9A
protein	WNT9B
protein	GIPC1
protein	IKBKB
protein	RGS12
protein	UBE2L6
protein	CASK
protein	PLD2
protein	EREG
protein	TFEC
protein	UQCRQ
protein	MYL12B
protein	UQCR11
protein	LECT2
protein	HGS
protein	AURKA
protein	PPP1R12A
protein	GAK
protein	AZIN1
protein	ZNF263
protein	XPO1
protein	PIP5K1B
protein	SYN3
protein	ARHGEF10
protein	SPTBN2
protein	PER2
protein	KIF3B
protein	MCF2L
protein	CEP290
protein	ARHGEF11
protein	SMAD7
protein	CHUK
protein	LSM1
protein	FYB
protein	AGPAT2
protein	ANGPT2
protein	NPFF
protein	ARPC1B
protein	ARPC2
protein	ARPC3
protein	MDM4
protein	POLR1C
protein	TRIM24
protein	AXIN1
protein	T
protein	O15181
protein	SMAD9
protein	PFDN6
protein	GSTA4
protein	LAMA5
protein	NDUFA1
protein	MAPK13
protein	TCAP
protein	FANCG
protein	PPM1D
protein	RAD51L1
protein	ATP6V0E1
protein	TP73
protein	TP73-2
protein	TP73-8
protein	TP73-9
